,Vehicle,Model,Model Year,Problem,Sub Problem,description,fail date
0,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,Keep getting misfires had mechanic replace coils & plugs but still getting obd codes for misfires of cylinders why ?? also keeps jerking & I nor a mechanic do not know why.,  01/01/2022
1,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"Saturday, October 23, 2021 we traveled down old dallas hwy toward gastonia, north carolina. Transmission slipped and motor revved very high without forward speed. Attempting to put transmission into reverse caused similar slippage. Returning on hwy 321 toward dallas, north carolina, the transmission slipped and the car would not reach highway speed. Turning onto hwy 279 to go home, the Honda would not go into gear at first, then slippage so that other cars almost struck our car which was unreliably stumbling. We have found there is a recall number 04v176000.",  10/23/2021
2,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,The gear shifter will not gauge is stuck in one position.,  11/04/2019
3,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"While driving on the interstate the d indicator starts blinking. The next exit is still 10 miles away. . I stop the car at a gas station for about 5 minutes. I then get back on the interstate to get home without getting in an accident or fatally injuring myself or others ! this has happened a few times whenever I go over 55-60 mph. So it seems to be when the transmission is changing from 3rd to 4th gear. ?? why haven't I received a recall for this transmission/powertrain problem ?? possibly campaign # 04v176000 and recall # p30. I only have 147,000 miles on my Pilot !! how many people have to get injured or even killed for this matter to be taken care of by someone or Honda ???.",  07/17/2019
4,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,Takata recall I was merging onto the highway and experienced total engine power loss. Rpms revved high and car lurched forward. I had already merged into 60mph traffic when my car stalled. Forced the cars behind me to slam on their brakes. Thankfully I was able to pull off to the side of the road and avoid having a major accident. There was no check engine light on or any other indication of failure.,  04/14/2019
5,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"Tl the contact owns a 2003 Honda Pilot. Upon starting the vehicle and shifting into drive, it failed to move. In addition, while the vehicle was at a stop light or while making turns, the vehicle continued idling. The check engine indicator was illuminated. The vehicle was taken to jeff wyler Honda of colerain (8950 colerain Ave, cincinnati, OH 45251, 513-741-3700) where it was diagnosed that the vehicle misfired and the transmission and gasket needed to be cleaned and replaced. The vehicle was not repaired. The manufacturer was not contacted. The failure mileage was 284,469.",  02/01/2019
6,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"I just bought a 2003 Honda Pilot with 164,000 miles on it a few days ago and noticed the transmission wasn't shifting correctly. It seemed like it would sometimes over rev before shifting but thought nothing of it. Last night I picked my grandchildren up from town and was heading back up the highway going about 55mph, all of a sudden it jerked back and downshifted to 2nd gear, luckily no one was behind or they would've hit us. I noticed the engine light came on at that time also.",  10/03/2018
7,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"In a trip to the park (20 minutes highway trip) the d indicator start blinking, park the car and turn off, turn it back on, and the light keep blinking all the way back home. It never happened before.",  06/16/2017
8,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"I was driving on the interstate and all the sudden it seem as if the transmission locked up, the tires squeeled and dropped 20 mph almost immediately. This happened twice in a 40 mile stretch, I'm scared to drive it.",  02/19/2017
9,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,I drive between 20-40mph and my Honda shakes and shudders for 8 seconds then goes away. Any idea what can that be.,  10/20/2016
10,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"The contact owns a 2003 Honda Pilot. While driving various speeds, the vehicle lost power. In addition, the accelerator pedal was depressed, but the vehicle failed to accelerate. The contact was unsure about what warning lights were illuminated. The failure recurred on numerous occasions. The vehicle was towed to a dealer where it was diagnosed that the transmission needed to be replaced. The vehicle was not repaired. The manufacturer was notified of the failure. The vehicle was previously repaired per NHTSA campaign number: 04v176000 (power train). The failure mileage was 150,000.",  09/16/2016
11,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"While driving on city streets in traffic and slow to 29 or 39 mph I feel a shudder or vibration. Also intermittently my ""d"" light flashes when turn on my Pilot but the maintenance light never comes on. This has been happening last 6 months. I have 160,000 miles.",  06/23/2016
12,Honda,Pilot,2003 Pilot,Power Train,Power Train problems,"This goes with the complaint # 10876282, I just entered. I needed to correct my VIN # by adding the number 2 in the front of the number. On the previous complaint I started the VIN# with h, not 2.",  06/23/2016
