,code,topic,description,possible_cause,Diagnostic
0,P0010 ," Intake Camshaft Position Actuator Circuit/Open (Bank 1)
",   The powertrain control module (PCM) monitors the variable camshaft timing (VCT) circuit   to the PCM for high and low voltage. The test fails if the voltage exceeds or falls below a   calibrated limit for a calibrated amount of time.,"['Open or short in the VCT circuit', 'Open VPWR circuit ', 'Open or short in the VCT solenoid valve']", This DTC is a circuit check. Testing should include the harness and solenoid coil.
1,P0011 , Intake Camshaft Position Timing ,   The powertrain control module (PCM) monitors the variable camshaft timing (VCT) position   for an over-advanced camshaft timing. The test fails when the camshaft timing exceeds a   maximum calibrated value or remains in an advanced position.,"['Camshaft timing improperly set', 'Continuous oil flow to the VCT piston chamber ', 'VCT solenoid valve stuck open ', 'Camshaft advance mechanism binding (VCT unit)']"," This DTC is a functional check of the VCT unit. Diagnose any base engine concernsrelated to the engine oil pressure or engine timing. Refer to the Workshop Manual Section 303-00, Engine System."
2,P0012 , Intake Camshaft Position Timing ,   The powertrain control module (PCM) monitors the variable camshaft timing (VCT) position   for over-retarded camshaft timing. The test fails when the camshaft timing exceeds a   maximum calibrated value or remains in a retarded position.,"['Camshaft timing improperly set', 'Continuous oil flow to the VCT piston chamber ', 'VCT solenoid valve stuck open ', 'Camshaft advance mechanism binding (VCT unit)']"," This DTC is a functional check of the VCT unit. Diagnose any base engine concernsrelated to the engine oil pressure or engine timing. Refer to the Workshop Manual Section 303-00, Engine System."
3,P0016 , Crankshaft Position ,   The powertrain control module (PCM) monitors the variable camshaft timing (VCT)   position for a misalignment between the camshaft and crankshaft. The test fails when the   misalignment is greater than 1 tooth.,"['Worn timing chain tensioner', 'Worn timing chain tensioner arm ', 'Loose timing chain']", Check or adjust the timing.
4,P0018 , Crankshaft Position ,  See the description for DTC P0016.,['See the possible causes for DTC P0016.'],See the diagnostic aids for DTC P0016.
5,P0020 ," Intake Camshaft Position Actuator Circuit/Open (Bank 2)
",  See the description for DTC P0010.,['See the possible causes for DTC P0010.'],See the diagnostic aids for DTC P0010.
6,P0021 , Intake Camshaft Position Timing ,  See the description for DTC P0011.,['See the possible causes for DTC P0011.'],See the diagnostic aids for DTC P0011.
7,P0022 , Intake Camshaft Position Timing ,  See the description for DTC P0012.,['See the possible causes for DTC P0012.'],See the diagnostic aids for DTC P0012.
8,P0040 ," Oxygen Sensor Signals Swapped Bank 1 Sensor 1/Bank 2 Sensor 1
",   The heated oxygen sensor (HO2S) monitor determines if the HO2S signal response for a   fuel shift corresponds to the correct engine bank. The test fails when there is no response   from the HO2S being tested.,"['Crossed HO2S harness connectors', 'Crossed HO2S wiring at the harness connectors ', 'Crossed HO2S wiring at the PCM connectors']", Connect the HO2S connector to the correct bank.
9,P0041 ," Oxygen Sensor Signals Swapped Bank 1 Sensor 2/Bank 2 Sensor 2
",   The heated oxygen sensor (HO2S) monitor determines if the HO2S signal response for a   fuel shift corresponds to the correct engine bank. The test fails when there is no response   from the HO2S being tested.,"['Crossed HO2S harness connectors', 'Crossed HO2S wiring at the harness connectors ', 'Crossed HO2S wiring at the PCM connectors']", Connect the HO2S connector to the correct bank.
10,P005x ," HO2S Heater Resistance (Bank 1, Sensor 1), (Bank 1, Sensor 2), (Bank 1, Sensor 3), and
(Bank 2, Sensor 1)
","Heater current requirements too low or high in the heated oxygen sensor (HO2S) heatercontrol circuit (HO2S11, HO2S12, HO2S13, HO2S21).","['VPWR circuit open ', 'HO2S heater circuit open', 'HO2S heater circuit short in the harness', 'Damaged HO2S heater']","Inspect the connectors for signs of damage, water ingress, or corrosion."
11,P0060 ," HO2S Heater Resistance (Bank 2, Sensor 2)
",  Heater current requirements too low or high in the heated oxygen sensor (HO2S) heater  control circuit (HO2S22).,['See the possible causes for DTC P005x.'],See the diagnostic aids for DTC P005x.
