,code,desc
0,P0000,No trouble code
1,P0001,Fuel Volume Regulator Control Circuit / Open
2,P0002,Fuel Volume Regulator Control Circuit Range/Performance
3,P0003,Fuel Volume Regulator Control Circuit Low
4,P0004,Fuel Volume Regulator Control Circuit High
5,P0005,Fuel Shutoff Valve Control Circuit / Open
6,P0006,Fuel Shutoff Valve Control Circuit Low
7,P0007,Fuel Shutoff Valve Control Circuit High
8,P0008,Engine Position System Performance - Bank 1
9,P0009,Engine Position System Performance - Bank 1
10,P0010,Intake Camshaft Position Actuator Circuit / Open (Bank 1)
11,P0011,Intake Camshaft Position Timing - Over-Advanced (Bank 1)
12,P0012,Intake Camshaft Position Timing - Over-Retarded (Bank 1)
13,P0013,Exhaust Camshaft Position Actuator Circuit / Open (Bank 1)
14,P0014,Exhaust Camshaft Position Timing - Over-Advanced (Bank 1)
15,P0015,Exhaust Camshaft Position Timing - Over-Retarded (Bank 1)
16,P0016,Crankshaft Position Camshaft Position Correlation Bank 1 Sensor A
17,P0017,Crankshaft Position Camshaft Position Correlation Bank 1 Sensor B
18,P0018,Crankshaft Position Camshaft Position Correlation Bank 2 Sensor A
19,P0019,Crankshaft Position Camshaft Position Correlation Bank 2 Sensor B
20,P0020,Intake Camshaft Position Actuator Circuit / Open (Bank 2)
21,P0021,Intake Camshaft Position Timing - Over-Advanced (Bank 2)
22,P0022,Intake Camshaft Position Timing - Over-Retarded (Bank 2)
23,P0023,Exhaust Camshaft Position Actuator Circuit / Open (Bank 2)
24,P0024,Exhaust Camshaft Position Timing - Over-Advanced (Bank 2)
25,P0025,Exhaust Camshaft Position Timing - Over-Retarded (Bank 2)
26,P0026,Intake Valve Control Solenoid Circuit Range/Performance (Bank 2)
27,P0027,Exhaust Valve Control Solenoid Circuit Range/Performance (Bank 2)
28,P0028,Intake Valve Control Solenoid Circuit Range/Performance (Bank 2)
29,P0029,Exhaust Valve Control Solenoid Circuit Range/Performance (Bank 2)
30,P0030,Heated Oxygen Sensor (H02S) Heater Control Circuit Bank 1 Sensor 1
31,P0031,Heated Oxygen Sensor (HO2S) Heater Circuit Low Voltage Bank 1 Sensor 1
32,P0032,Heated Oxygen Sensor (HO2S) Heater Circuit High Voltage Bank 1 Sensor 1
33,P0033,Turbo/Super Charger Bypass Valve Control Circuit / Open
34,P0034,Turbo/Super Charger Bypass Valve Control Circuit Low
35,P0035,Turbo/Super Charger Bypass Valve Control Circuit High
36,P0036,Heated Oxygen Sensor (HO2S) Heater Control Circuit Bank 1 Sensor 2
37,P0037,Heated Oxygen Sensor (HO2S) Heater Circuit Low Voltage Bank 1 Sensor 2
38,P0038,Heated Oxygen Sensor (HO2S) Heater Circuit High Voltage Bank 1 Sensor 2
39,P0039,Turbo/Super Charger Bypass Valve Control Circuit Range/Performance
40,P0040,Oxygen Sensor Signals Swapped Bank 1 Sensor 1 / Bank 2 Sensor 1
41,P0041,Oxygen Sensor Signals Swapped Bank 1 Sensor 2 / Bank 2 Sensor 2
42,P0042,"HO2S Heater Control Circuit (Bank 1, Sensor 3)"
43,P0043,"HO2S Heater Control Circuit Low (Bank 1, Sensor 3)"
44,P0044,"HO2S Heater Control Circuit High (Bank 1, Sensor 3)"
45,P0046,A Turbocharger/Supercharger Boost Control 'A' Circuit Range/Performance
46,P0047,Turbocharger/Supercharger Boost Control 'A' Circuit Low
47,P0048,Turbocharger/Supercharger Boost Control 'A' Circuit High
48,P0049,Turbo/Super Charger Turbine Overspeed
49,P0050,Heated Oxygen Sensor (HO2S) Heater Circuit Bank 2 Sensor 1
50,P0051,Heated Oxygen Sensor (HO2S) Heater Circuit Low Voltage Bank 2 Sensor 1
51,P0052,Heated Oxygen Sensor (HO2S) Heater Circuit High Voltage Bank 2 Sensor 1
52,P0053,HO2S Heater Resistance Bank 1 Sensor 1 (PCM)
53,P0054,HO2S Heater Resistance Bank 1 Sensor 2 (PCM)
54,P0055,HO2S Heater Resistance Bank 1 Sensor 3 (PCM)
55,P0056,Heated Oxygen Sensor (HO2S) Heater Circuit Bank 2 Sensor 2
56,P0057,Heated Oxygen Sensor (HO2S) Heater Circuit Low Voltage Bank 2 Sensor 2
57,P0058,Heated Oxygen Sensor (HO2S) Heater Circuit High Voltage Bank 2 Sensor 2
58,P0059,"HO2S Heater Resistance (Bank 2, Sensor 1)"
59,P0060,"HO2S Heater Resistance (Bank 2, Sensor 2)"
60,P0061,"HO2S Heater Resistance (Bank 2, Sensor 3)"
61,P0062,"HO2S Heater Control Circuit (Bank 2, Sensor 3)"
62,P0063,"HO2S Heater Control Circuit Low (Bank 2, Sensor 3)"
63,P0064,"HO2S Heater Control Circuit High (Bank 2, Sensor 3)"
64,P0065,Air Assisted Injector Control Range/Performance
65,P0066,Air Assisted Injector Control Circuit or Circuit Low
66,P0067,Air Assisted Injector Control Circuit or Circuit High
67,P0068,MAP / MAF - Throttle Position Correlation
68,P0069,MAP - Barometric Pressure Correlation
69,P0070,Ambient Air Temperature Sensor Circuit
70,P0071,Ambient Air Temperature Sensor Range/Performance
71,P0072,Ambient Air Temperature Sensor Circuit Low Input
72,P0073,Ambient Air Temperature Sensor Circuit High Input
73,P0074,Ambient Air Temperature Sensor Circuit Intermittent/Erratic
74,P0075,Intake Valve Control Circuit (Bank 2)
75,P0076,Intake Valve Control Circuit Low (Bank 2)
76,P0077,Intake Valve Control Circuit High (Bank 2)
77,P0078,Exhaust Valve Control Circuit (Bank 2)
78,P0079,Exhaust Valve Control Circuit Low (Bank 2)
79,P0080,Exhaust Valve Control Circuit High (Bank 2)
80,P0081,Intake Valve Control Circuit (Bank 2)
81,P0082,Intake Valve Control Circuit Low (Bank 2)
82,P0083,Intake Valve Control Circuit High (Bank 2)
83,P0084,Exhaust Valve Control Circuit (Bank 2)
84,P0085,Exhaust Valve Control Circuit Low (Bank 2)
85,P0086,Exhaust Valve Control Circuit High (Bank 2)
86,P0087,Fuel Rail/System Pressure - Too Low
87,P0088,Fuel Rail/System Pressure - Too High
88,P0089,Fuel Pressure Regulator Performance
89,P0090,Fuel Pressure Regulator Control Circuit
90,P0091,Fuel Pressure Regulator Control Circuit Low
91,P0092,Fuel Pressure Regulator Control Circuit High
92,P0093,Fuel System Leak Detected - Large Leak
93,P0094,Fuel System Leak Detected - Small Leak
94,P0095,Intake Air Temperature Sensor 2 Circuit
95,P0096,Intake Air Temperature Sensor 2 Circuit Range/Performance
96,P0097,Intake Air Temperature Sensor 2 Circuit Low Input
97,P0098,Intake Air Temperature Sensor 2 Circuit High Input
98,P0099,Intake Air Temperature Sensor 2 Circuit Intermittent/Erratic
99,P0100,Mass or Volume Air flow Circuit Malfunction
100,P0101,Mass or Volume Air flow Circuit Range/Performance Problem
101,P0102,Mass or Volume Air Flow Circuit low Input
102,P0103,Mass or Volume Air flow Circuit High Input
103,P0104,Mass or Volume Air flow Circuit Intermittent
104,P0105,Manifold Absolute Pressure/Barometric Pressure Circuit Malfunction
