,Vehicle,Model,Model Year,Problem,Sub Problem,Model Title,Model Problem,distance covered,description
0,Honda,Pilot,2003,interior accessories problems,Ignition Switch Problem,Pilot EX-L,Automatic transmission,"154,680 miles"," I am just so disappointed that the dealer did not tell me there was a cheaper way to take care of this problem! My key would not go in the ignition after trying over and over! When it finally did wiggle in there, I drove to the Honda place. It’s not right to take advantage of people who don’t know any better! Seven hundred hundred dollars is almost as much as my pension after taxes! I will never go back to Holmes Honda in Shreveport, Louisiana! This problem should be a recall now that they know what causes it, but I guess they would rather keep ripping people off than doing the right thing!				- Paulette S.,				Shreveport, LA, US"
1,Honda,Pilot,2003,interior accessories problems,Ignition Switch Problem,Pilot ES V6,Automatic transmission,"150,000 miles","Key is difficult for me to put into the ignition. After several attempts may go into the ignition. I now go between leaving the key in the ignition and doors unlocked or taking a chance that I may be stranded for failure. This issue is progressively getting worse. I have read several complaints of this same issue and feel that Honda has a responsibility to recall this issue.				- Penny L.,				Victoria, BC, Canada"
2,Honda,Pilot,2003,interior accessories problems,Ignition Switch Problem,Pilot,Automatic transmission,"222,000 miles","The key can be removed from the ignition wile running.				- Vickie S.,				Signal, TN, US"
3,Honda,Pilot,2003,interior accessories problems,Ignition Switch Problem,Pilot ES2HKY V6,Automatic transmission,"87,000 miles"," I PAID TO HAVE THE IGNITION SWITCH REPLACED SEVERAL YEARS AGO AND NOW I AM HAVING THE SAME PROBLEM AGAIN... AT THE TIME I HAD IT FIXED I WAS TOLD THAT THERE WAS NO RECALL ON IT YET. I READ COMPLAINT AFTER COMPLAINT OF THE VERY SAME PROBLEM.. I HAD TO PAY TO HAVE THIS FIXED AT THAT TIME AND HERE I AM AGAIN HAVING TO HAVE IT FIXED HOPEFULLY FOR GOOD THIS TIME WITH NEW PARTS THAT WORK... 				- Sherri K.,				Ventura, CA, US"
4,Honda,Pilot,2003,interior accessories problems,Ignition Switch Problem,Pilot 3.2L V6,Automatic transmission,"117,000 miles","So I just purchased this 2003 Honda Pilot from an owner. My fiance had noticed that the key comes out even when the car is running and it goes in gear. So I was wondering what is the cost to fix this or what do I need to do?				- Salena M.,				Rosemead, CA, US"
5,Honda,Pilot,2003,interior accessories problems,Ignition Switch Problem,Pilot LX 3.2L V6,Automatic transmission,"175,000 miles","This is a very common problem with the Honda Pilot and Honda won't cover it. They say because of the age of the car & don't bring it to a Honda dealership for maintenance. I keep all my cars for a very long time & I never ever heard of this problem. My brother also had the same problem and paid over $700 to have his Pilot fixed.Honda knows this should be a recall & won't even cover a cent of it. I will NEVER EVER buy another Honda & will tell everyone I know not to buy one. VERY disappointed in them!!!!!!!!!!!!!				- Sue F.,				West Chester, PA, US"
6,Honda,Pilot,2003,interior accessories problems,Ignition Switch Problem,Pilot ES 3.2L,Automatic transmission,"180,000 miles"," My son's 2003 Honda Pilot had problems with the ignition key. I had to have it replaced, it would not turn, it cost about $600.00 dollars. I have seen several others have had the same problem.				- davishomer,				Jupiter, FL, US"
7,Honda,Pilot,2003,interior accessories problems,Ignition Switch Problem,Pilot,Automatic transmission,"125,000 miles","I have a 2003 honda pilot...with 120,000 miles. About 3 months ago the key starting having issues going in and or turning. I called a locksmith who told me this was typical. So he charged me 450 dollars to rebuild the entire ignition that turns the key. Well today 1/10/2016 after everything was rebuilt I am having the same problem. So Im back to calling the locksmith to see if he backs up his work like he says he does. This seems to be a huge problem with honda pilots and needs to be fixed. Ive had many cars in the past and have never ever run into an issue like this. I buy honda for being a great vehicle all around... Honda needs to add this to there recall lists.... this issue is going to steer people from buying honda if this is what is going to happenthanksSeattle, Wa				- Rick N.,				Bothell, WA, US"
8,Honda,Pilot,2003,interior accessories problems,Ignition Switch Problem,Pilot 3.4L,Automatic transmission,"150,000 miles","I also had a problem with my 2003 Honda Pilot's ignition switch failing to turn, preventing the car to start. I would keep fumbling with the key in the ignition, trying to get it to rotate out of position and into the ""start"" position, but the ignition switch wouldn't budge. I had to fork out a whopping $500 to the dealership to get it fixed. I shouldn't had to have paid anything since it's such a common issue with this particular vehicle. This should be put on the Recall list. And people like me should get reimbursed for costs paid for a defective part.				- Dwight P.,				Tacoma, WA, US"
9,Honda,Pilot,2003,interior accessories problems,Ignition Switch Problem,Pilot V6,Automatic transmission,"130,000 miles","The key gets stuck in the ignition switch and won't turn. I informed Honda dealership of issue and they also confirmed that this is a known issue and Honda would not cover it for its due to wear and tear. I got stuck in a parking lot luckily and not somewhere worst. it was late at night and took a cab home with my son. It's a $550 fix that Honda believes is due to wear and tear. Can I ask how can that be for turning a switch on a car? There are numerous complaints on the web relating to this issue and Honda should do a recall. In the meantime, I had an auto starter placed therefore they cannot program it back and, and, and too boot, I have to have two keys. the old one to open the door and the new one to start the ignition. The inconvenience is truly a factor in this matter and for all the complaints that Honda received and all of the lives they have impacted with this issue would you think they would try to resolve it and/or at least pay for a portion of the fix??? hmmm...no.				- mjan,				Quincy, MA, US"
